Experiment,Train_Samples,Val_Loss,Test_Loss,Center_Mean_DPE_km,Center_Median_DPE_km,Center_P90_DPE_km,Center_Lat_MAE_deg,Center_Lon_MAE_deg,Category_Acc,Category_Macro_F1,Wind_MAE_kt,Wind_RMSE_kt,Wind_Median_AE_kt,Wind_P90_AE_kt,Wind_Bias_kt,Wind_Pearson_r,Track_12h_DPE_km,Track_24h_DPE_km,Track_48h_DPE_km,Track_Aggregate_DPE_km
EXP1: GridSat Frozen,207,3.576,2.8818,954.28,921.69,1699.84,3.804,7.121,0.2383,0.0885,21.12,28.59,14.77,52.64,-18.2,0.2799,908.72,954.42,955.44,939.52
EXP2: GridSat + INSAT TIR1/TIR2,207,3.7232,3.1301,1033.29,1036.04,1759.76,4.496,7.286,0.2349,0.0883,21.97,29.63,14.86,53.39,-19.66,0.2619,922.25,923.41,1024.97,956.88
EXP3: GridSat + INSAT TIR1/TIR2/WV,207,3.4665,2.749,1048.57,832.55,2119.97,3.027,8.295,0.2819,0.1671,19.26,24.82,14.71,44.37,-9.81,0.3128,1014.05,1133.88,1189.32,1112.42
