pilot_id,storm_id,storm_name,target_timestamp_utc,collection,product_name,algorithm_version,granule_filename,local_path,file_present,file_size_bytes,sha256,download_source_url,spatial_resolution_deg,primary_variable,units,native_shape,nio_subgrid_shape,verification_status,notes
PILOT_IMERG_01,2019_02B,FANI,2019-04-29T12:00:00Z,GPM_3IMERGHH.07,NASA GPM IMERG Final Run V07B Half-Hourly,V07B,20190429-S120000-E122959.0720.V07B.HDF5,data/raw/imerg/20190429-S120000-E122959.0720.V07B.HDF5,True,8213594,49ebb825dd1b8790ed8332eda2144d97a9fb9e96768ba641a51fd23cd1b26d47,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2019/119/3B-HHR.MS.MRG.3IMERG.20190429-S120000-E122959.0720.V07B.HDF5,0.1,precipitation,mm/hr,"(1, 3600, 1800)","(400, 650)",VERIFIED_GENUINE_NASA_HDF5,"Downloaded via NASA Earthdata URS authenticated session. HDF5 magic bytes verified. Genuine Final Run calibrated precipitation."
PILOT_IMERG_02,2020_01B,AMPHAN,2020-05-17T06:00:00Z,GPM_3IMERGHH.07,NASA GPM IMERG Final Run V07B Half-Hourly,V07B,20200517-S060000-E062959.0360.V07B.HDF5,data/raw/imerg/20200517-S060000-E062959.0360.V07B.HDF5,True,8098612,50fee96caab48362110593824e1b406955fc0f2ffe1e3236510a2326835beacf,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/138/3B-HHR.MS.MRG.3IMERG.20200517-S060000-E062959.0360.V07B.HDF5,0.1,precipitation,mm/hr,"(1, 3600, 1800)","(400, 650)",VERIFIED_GENUINE_NASA_HDF5,"Downloaded via NASA Earthdata URS authenticated session. HDF5 magic bytes verified. Genuine Final Run calibrated precipitation."
PILOT_IMERG_03,2024_01B,REMAL,2024-05-25T06:00:00Z,GPM_3IMERGHH.07,NASA GPM IMERG Final Run V07B Half-Hourly,V07B,20240525-S060000-E062959.0360.V07B.HDF5,data/raw/imerg/20240525-S060000-E062959.0360.V07B.HDF5,True,8068764,a9a70cef7ace8922dc175e4656b70807d9311b4711f9b5809cd6a35a9604d0e6,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2024/146/3B-HHR.MS.MRG.3IMERG.20240525-S060000-E062959.0360.V07B.HDF5,0.1,precipitation,mm/hr,"(1, 3600, 1800)","(400, 650)",VERIFIED_GENUINE_NASA_HDF5,"Downloaded via NASA Earthdata URS authenticated session. HDF5 magic bytes verified. Genuine Final Run calibrated precipitation."
