storm_id,source_page,source_row,reason
NIO_2001_UNNAMED_18,18,23.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_18,18,25.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_18,18,26.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_18,18,27.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_18,18,28.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_18,18,29.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_18,18,30.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_18,18,31.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_18,18,33.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_28,28,7.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_28,28,8.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_28,28,9.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_28,28,10.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_28,28,11.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_34,34,18.0,INVALID_OR_MISSING_COORDINATES
NIO_2001_UNNAMED_34,34,19.0,INVALID_OR_MISSING_COORDINATES
NIO_2001_UNNAMED_34,34,20.0,INVALID_OR_MISSING_COORDINATES
NIO_2001_UNNAMED_34,34,21.0,INVALID_OR_MISSING_COORDINATES
NIO_2001_UNNAMED_34,34,23.0,INVALID_OR_MISSING_COORDINATES
NIO_2001_UNNAMED_34,34,8.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_34,34,7.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_34,34,10.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_34,34,12.0,MISSING_TIMESTAMP
NIO_2001_UNNAMED_34,34,25.0,MISSING_TIMESTAMP
NIO_2002_UNNAMED_18,18,7.0,MISSING_TIMESTAMP
NIO_2002_UNNAMED_33,33,19.0,MISSING_TIMESTAMP
NIO_2002_UNNAMED_33,33,20.0,MISSING_TIMESTAMP
NIO_2002_UNNAMED_33,33,21.0,MISSING_TIMESTAMP
NIO_2002_UNNAMED_33,33,22.0,MISSING_TIMESTAMP
NIO_2002_UNNAMED_33,33,23.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_16,16,10.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,11.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,12.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,13.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,14.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,15.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,16.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,18.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,19.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,20.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,21.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,22.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,23.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,24.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,26.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,27.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,28.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,29.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,30.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,33.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,34.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,35.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,36.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,37.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,38.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,39.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,41.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,42.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_16,16,31.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_16,16,32.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_16,16,40.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_29,29,7.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_29,29,9.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_29,29,13.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_29,29,17.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_38,38,5.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_38,38,7.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_38,38,11.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_38,38,14.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_38,38,16.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_44,44,10.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,11.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,12.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,13.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,14.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,15.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,16.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,25.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,19.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,20.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,23.0,INVALID_OR_MISSING_COORDINATES
NIO_2004_UNNAMED_44,44,18.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_52,52,8.0,MISSING_TIMESTAMP
NIO_2004_UNNAMED_52,52,9.0,MISSING_TIMESTAMP
NIO_2005_IN,18,5.0,INVALID_OR_MISSING_COORDINATES
NIO_2005_IN,18,6.0,INVALID_OR_MISSING_COORDINATES
NIO_2005_IN,18,7.0,INVALID_OR_MISSING_COORDINATES
NIO_2005_IN,18,19.0,INVALID_OR_MISSING_COORDINATES
NIO_2005_UNNAMED_2_7_1,38,11.0,INVALID_OR_MISSING_COORDINATES
NIO_2006_UNNAMED_2_4_1,36,8.0,INVALID_OR_MISSING_COORDINATES
NIO_2007_UNNAMED_2_11_1,75,10.0,MISSING_TIMESTAMP
NIO_2007_UNNAMED_2_11_1,75,11.0,MISSING_TIMESTAMP
NIO_2010_UNNAMED_2_8_1,103,1.0,MISSING_TIMESTAMP
NIO_2010_UNNAMED_2_8_1,103,2.0,MISSING_TIMESTAMP
NIO_2010_UNNAMED_2_8_1,103,3.0,MISSING_TIMESTAMP
NIO_2010_UNNAMED_2_8_1,103,4.0,MISSING_TIMESTAMP
NIO_2010_UNNAMED_2_8_1,103,6.0,MISSING_TIMESTAMP
NIO_2011_UNNAMED_2_9_1,107,9.0,INVALID_OR_MISSING_COORDINATES
NIO_2012_NILAM,93,17.0,INVALID_OR_MISSING_COORDINATES
NIO_2013_IS,99,1.0,MISSING_TIMESTAMP
NIO_2013_IS,99,2.0,MISSING_TIMESTAMP
