storm_id,storm_name,target_synoptic_slot_utc,imerg_granule_filename,imerg_scan_start_utc,imerg_scan_end_utc,gridsat_filename,gridsat_timestamp_utc,delta_t_minutes,interpolation_applied,temporal_alignment_type,leakage_risk,alignment_notes
2019_02B,FANI,2019-04-29T12:00:00Z,20190429-S120000-E122959.0720.V07B.HDF5,2019-04-29T12:00:00Z,2019-04-29T12:29:59Z,data/interim/gridsat/2019/gridsat_2019.04.29.12.npz,2019-04-29T12:00:00Z,0.0,False,EXACT_SYNOPTIC_SLOT_MATCH,ZERO_LEAKAGE,"Exact 12:00 UTC synoptic slot pairing. Zero temporal interpolation. No future target data used."
2020_01B,AMPHAN,2020-05-17T06:00:00Z,20200517-S060000-E062959.0360.V07B.HDF5,2020-05-17T06:00:00Z,2020-05-17T06:29:59Z,data/interim/gridsat/2020/gridsat_2020.05.17.06.npz,2020-05-17T06:00:00Z,0.0,False,EXACT_SYNOPTIC_SLOT_MATCH,ZERO_LEAKAGE,"Exact 06:00 UTC synoptic slot pairing. Zero temporal interpolation. No future target data used."
2024_01B,REMAL,2024-05-25T06:00:00Z,20240525-S060000-E062959.0360.V07B.HDF5,2024-05-25T06:00:00Z,2024-05-25T06:29:59Z,data/interim/gridsat/2024/gridsat_2024.05.25.06.npz,2024-05-25T06:00:00Z,0.0,False,EXACT_SYNOPTIC_SLOT_MATCH,ZERO_LEAKAGE,"Exact 06:00 UTC synoptic slot pairing. Zero temporal interpolation. No future target data used."
