gridsat_timestamp_utc,gridsat_file,imerg_granule_filename,imerg_timestamp_utc,delta_minutes,download_url,product_collection,algorithm_version,format,primary_variable,units,spatial_resolution_deg,raw_grid_shape,nio_subgrid_shape,model_grid_shape,local_presence,local_path,file_size_bytes,sha256,pairing_status,spatial_compatibility,rejection_reason
2007-06-03T15:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.03.15.npz,3B-HHR.MS.MRG.3IMERG.20070603-S150000-E152959.0900.V07B.HDF5,2007-06-03T15:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/154/3B-HHR.MS.MRG.3IMERG.20070603-S150000-E152959.0900.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-03T18:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.03.18.npz,3B-HHR.MS.MRG.3IMERG.20070603-S180000-E182959.1080.V07B.HDF5,2007-06-03T18:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/154/3B-HHR.MS.MRG.3IMERG.20070603-S180000-E182959.1080.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-03T21:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.03.21.npz,3B-HHR.MS.MRG.3IMERG.20070603-S210000-E212959.1260.V07B.HDF5,2007-06-03T21:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/154/3B-HHR.MS.MRG.3IMERG.20070603-S210000-E212959.1260.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-04T00:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.04.00.npz,3B-HHR.MS.MRG.3IMERG.20070604-S000000-E002959.0000.V07B.HDF5,2007-06-04T00:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/155/3B-HHR.MS.MRG.3IMERG.20070604-S000000-E002959.0000.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-04T03:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.04.03.npz,3B-HHR.MS.MRG.3IMERG.20070604-S030000-E032959.0180.V07B.HDF5,2007-06-04T03:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/155/3B-HHR.MS.MRG.3IMERG.20070604-S030000-E032959.0180.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-04T06:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.04.06.npz,3B-HHR.MS.MRG.3IMERG.20070604-S060000-E062959.0360.V07B.HDF5,2007-06-04T06:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/155/3B-HHR.MS.MRG.3IMERG.20070604-S060000-E062959.0360.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-04T09:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.04.09.npz,3B-HHR.MS.MRG.3IMERG.20070604-S090000-E092959.0540.V07B.HDF5,2007-06-04T09:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/155/3B-HHR.MS.MRG.3IMERG.20070604-S090000-E092959.0540.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-04T12:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.04.12.npz,3B-HHR.MS.MRG.3IMERG.20070604-S120000-E122959.0720.V07B.HDF5,2007-06-04T12:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/155/3B-HHR.MS.MRG.3IMERG.20070604-S120000-E122959.0720.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-04T15:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.04.15.npz,3B-HHR.MS.MRG.3IMERG.20070604-S150000-E152959.0900.V07B.HDF5,2007-06-04T15:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/155/3B-HHR.MS.MRG.3IMERG.20070604-S150000-E152959.0900.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-04T18:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.04.18.npz,3B-HHR.MS.MRG.3IMERG.20070604-S180000-E182959.1080.V07B.HDF5,2007-06-04T18:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/155/3B-HHR.MS.MRG.3IMERG.20070604-S180000-E182959.1080.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-04T21:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.04.21.npz,3B-HHR.MS.MRG.3IMERG.20070604-S210000-E212959.1260.V07B.HDF5,2007-06-04T21:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/155/3B-HHR.MS.MRG.3IMERG.20070604-S210000-E212959.1260.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-05T00:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.05.00.npz,3B-HHR.MS.MRG.3IMERG.20070605-S000000-E002959.0000.V07B.HDF5,2007-06-05T00:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/156/3B-HHR.MS.MRG.3IMERG.20070605-S000000-E002959.0000.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-05T03:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.05.03.npz,3B-HHR.MS.MRG.3IMERG.20070605-S030000-E032959.0180.V07B.HDF5,2007-06-05T03:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/156/3B-HHR.MS.MRG.3IMERG.20070605-S030000-E032959.0180.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-20T12:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.20.12.npz,3B-HHR.MS.MRG.3IMERG.20070620-S120000-E122959.0720.V07B.HDF5,2007-06-20T12:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/171/3B-HHR.MS.MRG.3IMERG.20070620-S120000-E122959.0720.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-20T15:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.20.15.npz,3B-HHR.MS.MRG.3IMERG.20070620-S150000-E152959.0900.V07B.HDF5,2007-06-20T15:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/171/3B-HHR.MS.MRG.3IMERG.20070620-S150000-E152959.0900.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-20T18:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.20.18.npz,3B-HHR.MS.MRG.3IMERG.20070620-S180000-E182959.1080.V07B.HDF5,2007-06-20T18:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/171/3B-HHR.MS.MRG.3IMERG.20070620-S180000-E182959.1080.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-20T21:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.20.21.npz,3B-HHR.MS.MRG.3IMERG.20070620-S210000-E212959.1260.V07B.HDF5,2007-06-20T21:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/171/3B-HHR.MS.MRG.3IMERG.20070620-S210000-E212959.1260.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
2007-06-21T00:00:00Z,data/interim/gridsat/2007/gridsat_2007.06.21.00.npz,3B-HHR.MS.MRG.3IMERG.20070621-S000000-E002959.0000.V07B.HDF5,2007-06-21T00:00:00Z,0.0,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2007/172/3B-HHR.MS.MRG.3IMERG.20070621-S000000-E002959.0000.V07B.HDF5,GPM_3IMERGHH.07,V07B,HDF5,/Grid/precipitation,mm/hr,0.1,"(1, 3600, 1800)","(400, 650)","(72, 116)",False,,,,EXACT_MATCH,NIO_SUBGRID_COMPATIBLE,NONE
