sample_id,storm_id,t0,gridsat_timestamps,insat_timestamps,timestamp_offsets_minutes,insat_file_identifiers,channel_names,spatial_dimensions,projection,calibration_status,causal_check_all_frames_leq_t0
NIO_2019_FANI_20190429_1200Z,NIO_2019_FANI,2019-04-29T12:00:00+00:00,"[""2019-04-28T21:00:00Z"", ""2019-04-29T00:00:00Z"", ""2019-04-29T03:00:00Z"", ""2019-04-29T06:00:00Z"", ""2019-04-29T09:00:00Z"", ""2019-04-29T12:00:00Z""]","[""2019-04-28T21:30:00Z"", ""2019-04-29T00:00:00Z"", ""2019-04-29T03:00:00Z"", ""2019-04-29T06:00:00Z"", ""2019-04-29T09:00:00Z"", ""2019-04-29T12:00:00Z""]","[30.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""3DIMG_28APR2019_2130_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_29APR2019_0000_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_29APR2019_0300_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_29APR2019_0600_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_29APR2019_0900_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_29APR2019_1200_L1C_ASIA_MER_V01R00.h5""]","TIR1, TIR2, WV",572 x 929 (GridSat domain remapped),"Mercator (Asia Sector 40E-120E, 10S-45N)",CALIBRATED_LUT_TEMPERATURE_KELVIN,True
NIO_2020_AMPHAN_20200517_0600Z,NIO_2020_AMPHAN,2020-05-17T06:00:00+00:00,"[""2020-05-16T15:00:00Z"", ""2020-05-16T18:00:00Z"", ""2020-05-16T21:00:00Z"", ""2020-05-17T00:00:00Z"", ""2020-05-17T03:00:00Z"", ""2020-05-17T06:00:00Z""]","[""2020-05-16T15:00:00Z"", ""2020-05-16T19:00:00Z"", ""2020-05-16T21:00:00Z"", ""2020-05-17T00:00:00Z"", ""2020-05-17T03:00:00Z"", ""2020-05-17T06:00:00Z""]","[0.0, 60.0, 0.0, 0.0, 0.0, 0.0]","[""3DIMG_16MAY2020_1500_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_16MAY2020_1900_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_16MAY2020_2100_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_17MAY2020_0000_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_17MAY2020_0300_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_17MAY2020_0600_L1C_ASIA_MER_V01R00.h5""]","TIR1, TIR2, WV",572 x 929 (GridSat domain remapped),"Mercator (Asia Sector 40E-120E, 10S-45N)",CALIBRATED_LUT_TEMPERATURE_KELVIN,True
NIO_2024_REMAL_20240525_0600Z,NIO_2024_REMAL,2024-05-25T06:00:00+00:00,"[""2024-05-24T15:00:00Z"", ""2024-05-24T18:00:00Z"", ""2024-05-24T21:00:00Z"", ""2024-05-25T00:00:00Z"", ""2024-05-25T03:00:00Z"", ""2024-05-25T06:00:00Z""]","[""2024-05-24T15:00:00Z"", ""2024-05-24T18:00:00Z"", ""2024-05-24T21:00:00Z"", ""2024-05-25T00:00:00Z"", ""2024-05-25T03:00:00Z"", ""2024-05-25T06:00:00Z""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[""3DIMG_24MAY2024_1500_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_24MAY2024_1800_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_24MAY2024_2100_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_25MAY2024_0000_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_25MAY2024_0300_L1C_ASIA_MER_V01R00.h5"", ""3DIMG_25MAY2024_0600_L1C_ASIA_MER_V01R00.h5""]","TIR1, TIR2, WV",572 x 929 (GridSat domain remapped),"Mercator (Asia Sector 40E-120E, 10S-45N)",CALIBRATED_LUT_TEMPERATURE_KELVIN,True
