filename,canonical_filename,is_canonical,is_redundant_duplicate,file_size_bytes,sha256,status,notes
3B-HHR.MS.MRG.3IMERG.20021110-S030000-E032959.0180.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021110-S030000-E032959.0180.V07B.HDF5,True,False,7874440,294c9c3d24833a94bce990b400202c0be082a51de8999640500436cb505a8e40,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021110-S060000-E062959.0360.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021110-S060000-E062959.0360.V07B.HDF5,True,False,7863439,8538d9f78abf2ac4f596373f27530745791a638511fe183696a28579ac77f819,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021110-S090000-E092959.0540.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021110-S090000-E092959.0540.V07B.HDF5,True,False,7961666,421f99d3b717283882b428707702c10c41a8ce966549f5308e982ca2e5b7cd98,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021110-S120000-E122959.0720.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021110-S120000-E122959.0720.V07B.HDF5,True,False,7854452,7c6d2f7e7ef2b704241bb5cede16bf9a648f72c9c8a0cd0fef7408d5fa87a116,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021122-S150000-E152959.0900.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021122-S150000-E152959.0900.V07B.HDF5,True,False,7807922,6dad05dabc7bdfda483449fa966e315030c2561c13254155dfdef298ada0478c,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021122-S180000-E182959.1080.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021122-S180000-E182959.1080.V07B.HDF5,True,False,7881304,396cf927697f8799094b0a301ef1bbba60c3044b6ca8511214a109bc8aab4bd5,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021122-S210000-E212959.1260.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021122-S210000-E212959.1260.V07B.HDF5,True,False,7950453,1a3e4cbf197e57dcae9a234406766a0e9667315905b0458ccf83f950f4de14c1,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021123-S000000-E002959.0000.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021123-S000000-E002959.0000.V07B.HDF5,True,False,7779696,9ada5966c32e8e85033238ebc22853fdd512ee93d80e184ff9391d47cb41ce3a,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021123-S030000-E032959.0180.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021123-S030000-E032959.0180.V07B.HDF5,True,False,7850982,cfa7f855e7f4abb47de367e1589f7573bdb1d88a5128f3f5e72f079c961fb7bf,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021123-S060000-E062959.0360.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021123-S060000-E062959.0360.V07B.HDF5,True,False,7761295,b60c8f85b830793a052066a74d4f2272af4936a60292071fc0937dd73613e3b6,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
3B-HHR.MS.MRG.3IMERG.20021123-S090000-E092959.0540.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20021123-S090000-E092959.0540.V07B.HDF5,True,False,7759334,89fdf5539a834a244b6940b6367117873cd0b5713f7b154de9efcd1367b119b2,CANONICAL_PRIMARY,Official NASA GES DISC canonical granule file
