sample_id,storm_id,t0_utc,gridsat_spatial_mean,imerg_spatial_mean,gate_median,gate_p10,gate_p90,spatial_variance
NIO_2021_GULAB_20210924_1200Z,NIO_2021_GULAB,2021-09-24T12:00:00Z,0.49651387333869934,0.5034861266613007,0.49817943572998047,0.41839590668678284,0.5776380896568298,0.006083523388952017
NIO_2021_GULAB_20210924_1800Z,NIO_2021_GULAB,2021-09-24T18:00:00Z,0.49679920077323914,0.5032007992267609,0.49807119369506836,0.4175910949707031,0.5797638297080994,0.005577899049967527
NIO_2021_GULAB_20210925_0000Z,NIO_2021_GULAB,2021-09-25T00:00:00Z,0.49664750695228577,0.5033524930477142,0.4980289936065674,0.41142168641090393,0.5844975113868713,0.006331814918667078
NIO_2021_GULAB_20210925_0300Z,NIO_2021_GULAB,2021-09-25T03:00:00Z,0.49659785628318787,0.5034021437168121,0.4980733096599579,0.41612911224365234,0.5790914297103882,0.006040050182491541
NIO_2021_GULAB_20210925_0600Z,NIO_2021_GULAB,2021-09-25T06:00:00Z,0.49647238850593567,0.5035276114940643,0.4979480803012848,0.41880518198013306,0.5767138600349426,0.0062289549969136715
NIO_2021_GULAB_20210925_1200Z,NIO_2021_GULAB,2021-09-25T12:00:00Z,0.4971432387828827,0.5028567612171173,0.49830639362335205,0.4106868803501129,0.5857402682304382,0.006874509621411562
NIO_2021_GULAB_20210925_1800Z,NIO_2021_GULAB,2021-09-25T18:00:00Z,0.49722081422805786,0.5027791857719421,0.49833786487579346,0.40970203280448914,0.5868873596191406,0.006822129245847464
NIO_2021_GULAB_20210926_0000Z,NIO_2021_GULAB,2021-09-26T00:00:00Z,0.49636945128440857,0.5036305487155914,0.4982626438140869,0.3993406891822815,0.5947359800338745,0.008191361092031002
NIO_2021_GULAB_20210926_0300Z,NIO_2021_GULAB,2021-09-26T03:00:00Z,0.4957743287086487,0.5042256712913513,0.49804040789604187,0.4036672115325928,0.5893023014068604,0.008272123523056507
NIO_2021_JAWAD_20211202_1200Z,NIO_2021_JAWAD,2021-12-02T12:00:00Z,0.49670106172561646,0.5032989382743835,0.4982864260673523,0.4331423044204712,0.5618337392807007,0.004740060772746801
